"ID","Incident Time","Event Time","Source","Policies","Destination","File Name","Details","Status","Channel","Action","Severity"
"70100001","26 Aug. 2025, 02:07:36 PM GMT+0800","26 Aug. 2025, 02:07:22 PM GMT+0800","SRC-USER-001","Customer / Prospective Customer PII","alice@example.org","contract_2025.pdf; image.png","Quarterly contract package","New","Network email","Permitted","Medium"
"70100002","26 Aug. 2025, 01:53:17 PM GMT+0800","26 Aug. 2025, 01:53:12 PM GMT+0800","SRC-USER-002","Employee PII","bob@example.org","forms.zip; screenshot.png","HR forms bundle","New","Network email","Permitted","Medium"
"70100021","26 Aug. 2025, 08:15:00 AM GMT+0800","26 Aug. 2025, 08:14:55 AM GMT+0800","john.doe@corp.com","General","john.doe@corp.com","todo.txt","Sent note to self","New","Network email","Permitted","Low"
"70100022","26 Aug. 2025, 09:20:00 AM GMT+0800","26 Aug. 2025, 09:19:55 AM GMT+0800","mary.smith@example.org","Customer Data","marysmith@example.org","draft.docx","Self mail slight variation","New","Network email","Permitted","Medium"
"70100023","26 Aug. 2025, 11:00:00 AM GMT+0800","26 Aug. 2025, 10:59:50 AM GMT+0800","SRC-SELF-001@example.com","Employee PII","srcself001@example.com","notes.pdf","Another self mail","New","Network email","Permitted","Low"
"70100024","26 Aug. 2025, 01:05:00 PM GMT+0800","26 Aug. 2025, 01:04:53 PM GMT+0800","security.analyst@example.com","General","securityanalyst@example.net","ideas.txt","Cross-domain self mail","New","Network email","Permitted","High"
"70100025","26 Aug. 2025, 03:40:00 PM GMT+0800","26 Aug. 2025, 03:39:55 PM GMT+0800","anna_lee@company.com","General","anna.lee@company.com","reminder.docx","Slightly different self mail","New","Network email","Permitted","Low"
"70100003","26 Aug. 2025, 01:32:19 PM GMT+0800","26 Aug. 2025, 01:32:12 PM GMT+0800","self.user@example.com","Customer / Prospective Customer PII","self.user@example.com","notes.txt; image.png","Self mail","Open","Network email","Permitted","Low"
"70100004","26 Aug. 2025, 11:18:00 AM GMT+0800","26 Aug. 2025, 11:17:54 AM GMT+0800","SRC-USER-003","Customer / Prospective Customer PII","external.contact@gmail.com","client_list.xlsx; logo.png","Sharing list","New","Network email","Permitted","Medium"
"70100005","26 Aug. 2025, 10:46:44 AM GMT+0800","26 Aug. 2025, 10:46:40 AM GMT+0800","SRC-USER-004","Data Handling","ops@example.com","update.docx","","New","Network email","Permitted","Low"
"70100006","26 Aug. 2025, 10:41:20 AM GMT+0800","26 Aug. 2025, 10:41:12 AM GMT+0800","SRC-USER-005","Number Pattern","team@example.com","report; readme; image.png","Attachments w/o extension","New","Network email","Permitted","Medium"
"70100007","26 Aug. 2025, 09:54:03 AM GMT+0800","26 Aug. 2025, 09:53:59 AM GMT+0800","SRC-USER-006","File Movement","archive@example.org","report 1.pdf; report 2.pdf; report 3.pdf; report 4.pdf; image.png","Batch reports","New","Network email","Permitted","Low"
"70100026","26 Aug. 2025, 04:20:00 PM GMT+0800","26 Aug. 2025, 04:19:55 PM GMT+0800","SRC-USER-013","File Movement","storage@example.net","scan_001.jpg; scan_002.jpg; scan_003.jpg; scan_004.jpg","Scanned images sequential","New","Network email","Permitted","Medium"
"70100027","26 Aug. 2025, 05:45:00 PM GMT+0800","26 Aug. 2025, 05:44:52 PM GMT+0800","SRC-USER-014","File Movement","archive@example.org","invoice-jan.pdf; invoice-feb.pdf; invoice-mar.pdf","Sequential invoices","New","Network email","Permitted","Low"
"70100008","26 Aug. 2025, 09:35:00 AM GMT+0800","26 Aug. 2025, 09:34:55 AM GMT+0800","SRC-USER-007","General","finance@example.com","salary_projection.xlsx; image.png","confidential salary update","New","Network email","Permitted","High"
"70100009","26 Aug. 2025, 09:20:11 AM GMT+0800","26 Aug. 2025, 09:20:05 AM GMT+0800","SRC-USER-008","General","contact@malicious.xyz","invite.pdf; image.png","Weird TLD test","New","Network email","Permitted","Low"
"70100010","26 Aug. 2025, 02:45:00 AM GMT+0800","26 Aug. 2025, 02:44:50 AM GMT+0800","SRC-USER-009","General","night.ops@example.com","night_export.csv","late run","New","Network email","Permitted","Low"
"70100011","25 Aug. 2025, 09:01:00 AM GMT+0800","25 Aug. 2025, 09:00:57 AM GMT+0800","SRC-REP-001","General","a@partner.com","fileA.pdf","daily send","New","Network email","Permitted","Low"
"70100012","25 Aug. 2025, 11:10:00 AM GMT+0800","25 Aug. 2025, 11:09:55 AM GMT+0800","SRC-REP-001","General","b@partner.com","fileB.pdf","daily send","New","Network email","Permitted","Low"
"70100013","25 Aug. 2025, 01:20:00 PM GMT+0800","25 Aug. 2025, 01:19:52 PM GMT+0800","SRC-REP-001","General","c@partner.com","fileC.pdf","daily send","New","Network email","Permitted","Low"
"70100014","25 Aug. 2025, 03:35:00 PM GMT+0800","25 Aug. 2025, 03:34:57 PM GMT+0800","SRC-REP-001","General","d@partner.com","fileD.pdf","daily send","New","Network email","Permitted","Low"
"70100015","25 Aug. 2025, 04:50:00 PM GMT+0800","25 Aug. 2025, 04:49:58 PM GMT+0800","SRC-REP-001","General","e@partner.com","fileE.pdf","daily send","New","Network email","Permitted","Low"
"70100016","25 Aug. 2025, 05:59:00 PM GMT+0800","25 Aug. 2025, 05:58:53 PM GMT+0800","SRC-REP-001","General","f@partner.com","fileF.pdf","daily send","New","Network email","Permitted","Low"
"70100017","26 Aug. 2025, 09:05:00 AM GMT+0800","26 Aug. 2025, 09:04:58 AM GMT+0800","SRC-REP-001","General","g@partner.com","fileG.pdf","daily send","New","Network email","Permitted","Low"
"70100018","26 Aug. 2025, 10:15:00 AM GMT+0800","26 Aug. 2025, 10:14:52 AM GMT+0800","SRC-USER-010","General","external.freelancer@gmail.com","draft 1.docx; draft 2.docx; draft 3.docx; image.png","confidential draft series","New","Network email","Permitted","Medium"
"70100019","26 Aug. 2025, 12:10:00 AM GMT+0800","26 Aug. 2025, 12:09:50 AM GMT+0800","SRC-USER-011","General","ops@example.net","readme; changelog","ok","New","Network email","Permitted","Low"
"70100020","26 Aug. 2025, 10:01:00 AM GMT+0800","26 Aug. 2025, 10:00:48 AM GMT+0800","SRC-USER-012","Number Pattern","eve@example.net","blocked.csv","blocked test","New","Network email","Block","High"
